==========
Args:Namespace(arch='resnet50', batch_size=64, clustering='Kmeans', data_dir='/home/ljw/cluster-contrast/data', dataset='veri', dropout=0, epochs=50, eps=0.7, eps_gap=0.02, eval_step=10, features=0, height=224, iters=400, k1=30, k2=6, logs_dir='/home/ljw/cluster-contrast/logs', lr=0.00035, momentum=0.1, nmb_cluster=800, num_instances=16, pooling_type='gem', print_freq=10, seed=1, step_size=20, temp=0.05, use_hard=True, verbose=False, weight_decay=0.0005, width=224, workers=4)
==========
==> Load unlabeled dataset
self.dataset_dir  /home/ljw/datasets/VeRi
=> VeRi loaded
Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
pooling_type: gem
==> Create pseudo labels for unlabeled data
k-means time: 3 s
num_cluster  800
init---
==> Statistics for epoch 0: 800 clusters
Epoch: [2][310/400]	Time 0.323 (0.324)	Data 0.000 (0.004)	Loss 4.565 (4.665)
Epoch: [2][320/400]	Time 0.317 (0.324)	Data 0.000 (0.004)	Loss 5.662 (4.699)
Epoch: [2][330/400]	Time 0.322 (0.324)	Data 0.000 (0.003)	Loss 6.249 (4.725)
Epoch: [2][340/400]	Time 0.321 (0.324)	Data 0.000 (0.003)	Loss 5.448 (4.744)
Epoch: [2][350/400]	Time 0.322 (0.324)	Data 0.000 (0.003)	Loss 5.483 (4.763)
Epoch: [2][360/400]	Time 0.318 (0.324)	Data 0.000 (0.003)	Loss 5.717 (4.775)
Epoch: [2][370/400]	Time 0.321 (0.324)	Data 0.000 (0.003)	Loss 5.486 (4.796)
Epoch: [2][380/400]	Time 0.317 (0.323)	Data 0.000 (0.003)	Loss 4.808 (4.812)
Epoch: [2][390/400]	Time 0.322 (0.323)	Data 0.000 (0.003)	Loss 5.151 (4.820)
Epoch: [2][400/400]	Time 0.317 (0.323)	Data 0.000 (0.003)	Loss 5.303 (4.832)
==> Create pseudo labels for unlabeled data
k-means time: 2 s
num_cluster  800
init---
==> Statistics for epoch 3: 800 clusters
Epoch: [3][10/400]	Time 0.315 (0.351)	Data 0.000 (0.034)	Loss 3.356 (3.802)
Epoch: [3][20/400]	Time 0.316 (0.334)	Data 0.000 (0.017)	Loss 3.762 (3.686)
Epoch: [3][30/400]	Time 0.320 (0.328)	Data 0.000 (0.011)	Loss 3.875 (3.605)
Epoch: [3][40/400]	Time 0.315 (0.326)	Data 0.000 (0.009)	Loss 3.488 (3.517)
Epoch: [3][50/400]	Time 0.316 (0.324)	Data 0.000 (0.007)	Loss 3.904 (3.584)
Epoch: [3][60/400]	Time 0.316 (0.323)	Data 0.000 (0.006)	Loss 4.949 (3.568)
Epoch: [3][70/400]	Time 0.317 (0.322)	Data 0.000 (0.005)	Loss 3.282 (3.579)
Epoch: [3][80/400]	Time 0.316 (0.322)	Data 0.000 (0.004)	Loss 3.693 (3.571)
Epoch: [3][90/400]	Time 0.320 (0.321)	Data 0.000 (0.004)	Loss 3.860 (3.620)
Epoch: [3][100/400]	Time 0.321 (0.321)	Data 0.000 (0.004)	Loss 2.841 (3.618)
Epoch: [3][110/400]	Time 0.323 (0.321)	Data 0.000 (0.003)	Loss 3.563 (3.641)
Epoch: [3][120/400]	Time 0.322 (0.321)	Data 0.000 (0.003)	Loss 3.322 (3.605)
Epoch: [3][130/400]	Time 0.320 (0.321)	Data 0.000 (0.003)	Loss 3.530 (3.600)
Epoch: [3][140/400]	Time 0.318 (0.321)	Data 0.000 (0.003)	Loss 4.008 (3.618)
Epoch: [3][150/400]	Time 0.320 (0.321)	Data 0.000 (0.002)	Loss 2.573 (3.614)
Epoch: [3][160/400]	Time 0.324 (0.321)	Data 0.000 (0.002)	Loss 3.203 (3.602)
Epoch: [3][170/400]	Time 0.318 (0.321)	Data 0.000 (0.002)	Loss 3.981 (3.603)
Epoch: [3][180/400]	Time 0.319 (0.320)	Data 0.000 (0.002)	Loss 4.226 (3.580)
Epoch: [3][190/400]	Time 0.319 (0.320)	Data 0.000 (0.002)	Loss 3.117 (3.561)
Epoch: [3][200/400]	Time 0.315 (0.320)	Data 0.000 (0.002)	Loss 3.478 (3.553)
Epoch: [3][210/400]	Time 0.320 (0.325)	Data 0.000 (0.006)	Loss 5.208 (3.620)
Epoch: [3][220/400]	Time 0.321 (0.325)	Data 0.000 (0.006)	Loss 4.940 (3.691)
Epoch: [3][230/400]	Time 0.319 (0.324)	Data 0.000 (0.006)	Loss 5.518 (3.754)
Epoch: [3][240/400]	Time 0.316 (0.324)	Data 0.000 (0.006)	Loss 5.801 (3.822)
Epoch: [3][250/400]	Time 0.317 (0.324)	Data 0.000 (0.005)	Loss 5.066 (3.877)
Epoch: [3][260/400]	Time 0.322 (0.324)	Data 0.000 (0.005)	Loss 5.509 (3.921)
Epoch: [3][270/400]	Time 0.319 (0.324)	Data 0.000 (0.005)	Loss 5.434 (3.971)
Epoch: [3][280/400]	Time 0.320 (0.323)	Data 0.000 (0.005)	Loss 4.599 (4.011)
Epoch: [3][290/400]	Time 0.321 (0.323)	Data 0.000 (0.005)	Loss 4.958 (4.044)
Epoch: [3][300/400]	Time 0.320 (0.323)	Data 0.000 (0.004)	Loss 6.199 (4.082)
Epoch: [3][310/400]	Time 0.315 (0.323)	Data 0.000 (0.004)	Loss 5.024 (4.110)
Epoch: [3][320/400]	Time 0.321 (0.323)	Data 0.000 (0.004)	Loss 4.938 (4.145)
Epoch: [3][330/400]	Time 0.320 (0.323)	Data 0.000 (0.004)	Loss 6.034 (4.180)
Epoch: [3][340/400]	Time 0.316 (0.323)	Data 0.000 (0.004)	Loss 5.255 (4.201)
Epoch: [3][350/400]	Time 0.316 (0.323)	Data 0.000 (0.004)	Loss 4.313 (4.219)
Epoch: [3][360/400]	Time 0.315 (0.322)	Data 0.000 (0.004)	Loss 5.494 (4.241)
Epoch: [3][370/400]	Time 0.320 (0.322)	Data 0.000 (0.004)	Loss 5.201 (4.265)
Epoch: [3][380/400]	Time 0.322 (0.322)	Data 0.000 (0.004)	Loss 5.672 (4.287)
Epoch: [3][390/400]	Time 0.316 (0.322)	Data 0.000 (0.003)	Loss 4.372 (4.306)
Epoch: [3][400/400]	Time 0.318 (0.322)	Data 0.000 (0.003)	Loss 3.946 (4.324)
==> Create pseudo labels for unlabeled data
k-means time: 2 s
num_cluster  800
init---
==> Statistics for epoch 4: 800 clusters
Epoch: [4][10/400]	Time 0.315 (0.348)	Data 0.000 (0.031)	Loss 3.437 (3.487)
Epoch: [4][20/400]	Time 0.314 (0.331)	Data 0.000 (0.016)	Loss 3.225 (3.503)
Epoch: [4][30/400]	Time 0.320 (0.326)	Data 0.000 (0.011)	Loss 3.662 (3.479)
Epoch: [4][40/400]	Time 0.315 (0.323)	Data 0.000 (0.008)	Loss 2.622 (3.389)
Epoch: [4][50/400]	Time 0.320 (0.323)	Data 0.000 (0.006)	Loss 2.996 (3.340)
Epoch: [4][60/400]	Time 0.323 (0.322)	Data 0.000 (0.005)	Loss 2.546 (3.258)
Epoch: [4][70/400]	Time 0.318 (0.321)	Data 0.000 (0.005)	Loss 4.291 (3.253)
Epoch: [4][80/400]	Time 0.315 (0.321)	Data 0.000 (0.004)	Loss 2.732 (3.219)
Epoch: [4][90/400]	Time 0.315 (0.320)	Data 0.000 (0.004)	Loss 3.070 (3.256)
Epoch: [4][100/400]	Time 0.322 (0.320)	Data 0.000 (0.003)	Loss 2.507 (3.240)
Epoch: [4][110/400]	Time 0.316 (0.320)	Data 0.000 (0.003)	Loss 2.775 (3.226)
Epoch: [4][120/400]	Time 0.315 (0.320)	Data 0.000 (0.003)	Loss 2.951 (3.216)
Epoch: [4][130/400]	Time 0.321 (0.319)	Data 0.000 (0.003)	Loss 2.925 (3.204)
Epoch: [4][140/400]	Time 0.320 (0.319)	Data 0.000 (0.002)	Loss 3.357 (3.195)
Epoch: [4][150/400]	Time 0.315 (0.319)	Data 0.000 (0.002)	Loss 3.104 (3.190)
Epoch: [4][160/400]	Time 0.318 (0.319)	Data 0.000 (0.002)	Loss 2.919 (3.168)
Epoch: [4][170/400]	Time 0.319 (0.319)	Data 0.000 (0.002)	Loss 2.087 (3.162)
Epoch: [4][180/400]	Time 0.316 (0.319)	Data 0.000 (0.002)	Loss 2.476 (3.139)
Epoch: [4][190/400]	Time 0.320 (0.319)	Data 0.000 (0.002)	Loss 2.403 (3.120)
Epoch: [4][200/400]	Time 0.319 (0.319)	Data 0.000 (0.002)	Loss 2.733 (3.110)
Epoch: [4][210/400]	Time 0.319 (0.323)	Data 0.000 (0.005)	Loss 5.393 (3.183)
Epoch: [4][220/400]	Time 0.319 (0.323)	Data 0.000 (0.005)	Loss 4.743 (3.245)
Epoch: [4][230/400]	Time 0.315 (0.322)	Data 0.000 (0.005)	Loss 4.882 (3.308)
Epoch: [4][240/400]	Time 0.322 (0.322)	Data 0.000 (0.005)	Loss 4.664 (3.381)
Epoch: [4][250/400]	Time 0.316 (0.322)	Data 0.000 (0.005)	Loss 5.469 (3.437)
Epoch: [4][260/400]	Time 0.323 (0.322)	Data 0.000 (0.004)	Loss 5.287 (3.502)
Epoch: [4][270/400]	Time 0.320 (0.322)	Data 0.000 (0.004)	Loss 4.651 (3.558)
Epoch: [4][280/400]	Time 0.323 (0.322)	Data 0.000 (0.004)	Loss 5.114 (3.610)
Epoch: [4][290/400]	Time 0.325 (0.322)	Data 0.000 (0.004)	Loss 5.203 (3.660)
Epoch: [4][300/400]	Time 0.318 (0.322)	Data 0.000 (0.004)	Loss 5.221 (3.696)
Epoch: [4][310/400]	Time 0.324 (0.322)	Data 0.000 (0.004)	Loss 4.741 (3.735)
Epoch: [4][320/400]	Time 0.315 (0.322)	Data 0.000 (0.004)	Loss 4.529 (3.767)
Epoch: [4][330/400]	Time 0.321 (0.322)	Data 0.000 (0.004)	Loss 4.837 (3.806)
Epoch: [4][340/400]	Time 0.322 (0.322)	Data 0.000 (0.003)	Loss 5.791 (3.846)
Epoch: [4][350/400]	Time 0.325 (0.322)	Data 0.000 (0.003)	Loss 5.053 (3.873)
Epoch: [4][360/400]	Time 0.323 (0.322)	Data 0.000 (0.003)	Loss 6.137 (3.899)
Epoch: [4][370/400]	Time 0.323 (0.322)	Data 0.000 (0.003)	Loss 4.947 (3.922)
Epoch: [4][380/400]	Time 0.317 (0.322)	Data 0.000 (0.003)	Loss 4.781 (3.950)
Epoch: [4][390/400]	Time 0.315 (0.322)	Data 0.000 (0.003)	Loss 5.639 (3.968)
Epoch: [4][400/400]	Time 0.316 (0.322)	Data 0.000 (0.003)	Loss 4.876 (3.991)
==> Create pseudo labels for unlabeled data
k-means time: 2 s
num_cluster  800
init---
==> Statistics for epoch 5: 800 clusters
Epoch: [5][10/400]	Time 0.321 (0.352)	Data 0.000 (0.031)	Loss 2.940 (3.307)
Epoch: [5][20/400]	Time 0.314 (0.334)	Data 0.000 (0.016)	Loss 3.660 (3.219)
Epoch: [5][30/400]	Time 0.315 (0.328)	Data 0.000 (0.010)	Loss 3.374 (3.217)
Epoch: [5][40/400]	Time 0.313 (0.324)	Data 0.000 (0.008)	Loss 3.291 (3.143)
